seed,n_d,mean_total_wait_min
5,550,0.2184441656210629
5,560,0.2170382835506779
5,570,0.2052363430512166
5,580,0.2069545019811294
5,590,0.1970394275291008
5,600,0.18145536595683445
5,610,0.16755768148563968
5,620,0.17011382565240413
5,630,0.17204047685055673
5,640,0.16550176774543413
5,650,0.15901412351148325
5,660,0.15416021399407837
5,670,0.14743927827896508
5,680,0.1470390592188075
5,690,0.1386753318583999
5,700,0.13892617449663708
5,710,0.1308178752107863
5,720,0.12699874424444788
5,730,0.12375257731958202
5,740,0.12159090909090396
5,750,0.11867859600825384
5,760,0.11764868221332474
5,770,0.10858844715334189
5,780,0.10689223057643783
5,790,0.1079900124843911
5,800,0.10167714884695771
6,400,1.1538842293414344
6,410,0.9150624133148716
6,420,0.7137410976120886
6,430,0.46566469093989127
6,440,0.4684341342170816
6,450,0.43266206896552134
6,460,0.3975424547839347
6,470,0.3766748366013105
6,480,0.3467263955892477
6,490,0.31109725685784234
6,500,0.291212333566903
6,510,0.2881163775440318
6,520,0.2637320977253376
6,530,0.25242583864705614
6,540,0.22776392352450447
6,550,0.2416002199614878
6,560,0.22518498218688346
6,570,0.21745722631796996
6,580,0.20571311698935008
6,590,0.19215064146777552
6,600,0.19177524429966125
6,610,0.1785134378499324
6,620,0.17946909995851118
6,630,0.16718189345844872
6,640,0.15221674876846455
6,650,0.1579468831704869
6,660,0.1533204205865984
6,670,0.14401679496150419
6,680,0.14417960088691045
6,690,0.141826458821899
6,700,0.1350124206458667
6,710,0.13212757144828818
6,720,0.12965132116588854
6,730,0.12827671571997726
6,740,0.11840133222314243
6,750,0.11531133508214367
6,760,0.11737147595356097
6,770,0.11205783267826681
6,780,0.10508690122933165
6,790,0.10308896210872853
6,800,0.1016256773655665
7,400,1.344061039318128
7,410,0.660250347705164
7,420,0.6829119086460226
7,430,0.5194752350217625
7,440,0.4249682068673166
7,450,0.3835479850436269
7,460,0.38457731958762764
7,470,0.3600083986562146
7,480,0.34554197005082865
7,490,0.31023489932884696
7,500,0.292800334868126
7,510,0.26334954829740814
7,520,0.26764908414816874
7,530,0.2607891491985007
7,540,0.23904331875262766
7,550,0.2140817469204768
7,560,0.22054343351171626
7,570,0.20328321147743064
7,580,0.19827610176559113
7,590,0.18354906054278533
7,600,0.1907885651153019
7,610,0.18168432640703291
7,620,0.16926889714992688
7,630,0.16914221535868623
7,640,0.16278542050771935
7,650,0.16098063452821434
7,660,0.1498756562586263
7,670,0.14578091872790766
7,680,0.15107767385114976
7,690,0.1416445623342097
7,700,0.13325533379214768
7,710,0.12615643397812726
7,720,0.1255689607896844
7,730,0.12312579415501404
7,740,0.12572135201977996
7,750,0.12154354106479039
7,760,0.11595968080637968
7,770,0.11038488453463594
7,780,0.10717891194615503
7,790,0.10983652762119146
7,800,0.10191586838816893
8,400,1.0591096455070197
8,410,0.9886836989725407
8,420,0.5860738255033655
8,430,0.5893259207783228
8,440,0.4786180102677977
8,450,0.4458413395553226
8,460,0.3873746393735466
8,470,0.34813037956821746
8,480,0.3241774951617263
8,490,0.30469139219483726
8,500,0.2877124547227437
8,510,0.2772240527182655
8,520,0.25094678645471474
8,530,0.253451131971267
8,540,0.23009011546041688
8,550,0.2270589891594935
8,560,0.213048400792512
8,570,0.21293019367422097
8,580,0.20613623827907987
8,590,0.1907021658159613
8,600,0.18646637265709848
8,610,0.18582150655020516
8,620,0.17016559079426344
8,630,0.16907202216065378
8,640,0.1661351237935271
8,650,0.1525771755831732
8,660,0.151634991615419
8,670,0.1530335171828508
8,680,0.14006925207755516
8,690,0.13808253790004915
8,700,0.13604410751205373
8,710,0.13168520807580722
8,720,0.1277260730656975
8,730,0.12399945362654796
8,740,0.12127393838467428
8,750,0.12156194629957204
8,760,0.11813862493012386
8,770,0.1144883624845018
8,780,0.10623514609254549
8,790,0.10286447199657725
8,800,0.10386212624584429
9,400,0.9906839290740463
9,410,0.8229524345623884
9,420,0.6269923965080593
9,430,0.49006568144499857
9,440,0.4069827586206862
9,450,0.4293096432931028
9,460,0.3484924623115498
9,470,0.3364916773367391
9,480,0.32843819599108415
9,490,0.31000420344681073
9,500,0.2932523802952766
9,510,0.2982642237222596
9,520,0.2561821219715756
9,530,0.24948251748249903
9,540,0.22745371014894572
9,550,0.2169028053272726
9,560,0.21584958217268632
9,570,0.2045625784847071
9,580,0.2014441951766545
9,590,0.19517519466072014
9,600,0.18386961972418334
9,610,0.1773814519513105
9,620,0.17648302099477545
9,630,0.16422413793102456
9,640,0.15221124946328063
9,650,0.15287546545303207
9,660,0.15313772286956848
9,670,0.14918238993709865
9,680,0.14126173384869478
9,690,0.1411544850498264
9,700,0.12560747663550867
9,710,0.13395856662933261
9,720,0.127563025210078
9,730,0.12439436619717782
9,740,0.1216556940747952
9,750,0.11887984278494745
9,760,0.11494156928213246
9,770,0.10869625713092725
9,780,0.11007194244603942
9,790,0.10547103977668912
9,800,0.0960990888382673
